3,Nearest Neighbor,VNS,Hard Fixing,
tsp_instance1,242449.796763,235382.922351,233863.637548,
tsp_instance2,244888.009784,237952.331852,232995.841363,
tsp_instance3,246141.917507,235635.448815,230850.572165,
tsp_instance4,241871.462401,231074.239541,227828.861067,
tsp_instance5,244799.405213,237554.233141,232587.792207,
tsp_instance6,244018.233601,237141.555444,232676.558474,
tsp_instance7,240311.938383,230823.577835,228497.429518,
tsp_instance8,242486.356255,235983.634649,232336.561013,
tsp_instance9,245806.889148,237773.830406,233097.753767,
tsp_instance10,245782.804234,236279.220308,231739.061774,
tsp_instance11,240744.834439,232287.515297,229638.882177,
tsp_instance12,246676.366383,235816.913970,231336.991058,
tsp_instance13,240307.563865,231876.814175,228190.978662,
tsp_instance14,242796.481182,233991.168760,229701.290425,
tsp_instance15,242824.891868,233248.205659,229048.781020,
tsp_instance16,245933.103739,237770.681010,234813.905899,
tsp_instance17,247333.153536,237906.020056,232587.414207,
tsp_instance18,244265.466374,236542.674424,232604.505691,
tsp_instance19,244682.952486,237764.810910,232932.867984,
tsp_instance20,241790.763250,236009.882648,231680.922797,
tsp_instance21,242028.723257,233568.765726,229361.236817,
tsp_instance22,245035.912108,238573.503610,233810.024333,
tsp_instance23,242823.493457,234976.699051,231238.339855,
tsp_instance24,246365.635417,237835.058381,232403.096853,
tsp_instance25,245479.386354,237722.145940,234554.470550,
tsp_instance26,244994.537263,237397.591673,234875.486259,
tsp_instance27,242209.412987,234934.015428,231079.220114,
tsp_instance28,243081.890468,233528.701700,230512.359321,
tsp_instance29,244979.585764,237623.297749,233027.603407,
tsp_instance30,240979.972585,234280.269432,230204.477766,
tsp_instance31,243618.408044,234224.073990,230349.624596,
tsp_instance32,248411.123912,238106.335433,235458.148833,
tsp_instance33,245600.639761,237881.446208,239507.208569,
tsp_instance34,243976.278110,236664.746646,232674.749375,
tsp_instance35,243679.223886,238144.580483,232114.389795,
tsp_instance36,244454.062565,237433.695365,231919.313718,
tsp_instance37,240852.406647,234775.875254,230573.589114,
tsp_instance38,245755.745281,238471.203056,232953.487907,
tsp_instance39,248927.321508,238721.422712,233783.407841,
tsp_instance40,243470.117915,235980.692286,231489.114341,
tsp_instance41,246929.990042,235198.109931,231588.394478,
tsp_instance42,242809.509170,234291.981418,230453.112464,
tsp_instance43,248126.489822,238601.058812,234466.624623,
tsp_instance44,239462.210227,233498.728974,231206.108731,
tsp_instance45,241777.535607,234388.239747,230700.157249,
tsp_instance46,244611.008202,236912.879709,235145.663442,
tsp_instance47,243611.923707,237125.361572,234002.179048,
tsp_instance48,242436.238316,232030.837260,228170.910004,
tsp_instance49,245038.436607,234619.588760,232150.449725,
tsp_instance50,244054.622800,234708.607986,232069.515140,
