4,B_60.00_0_0,B_60.00_1_0,B_60.00_0_1,B_60.00_1_1,
tsp_instance1,10.339536,10.762446,10.295095,10.651127,
tsp_instance2,6.714304,6.667134,6.565483,6.785192,
tsp_instance3,23.805185,23.466629,23.992529,23.661874,
tsp_instance4,11.480718,11.510086,11.658361,11.455248,
tsp_instance5,12.409419,11.407978,12.575231,11.612784,
tsp_instance6,9.011821,8.228227,8.907461,8.366350,
tsp_instance7,23.438138,25.859691,23.029641,25.838370,
tsp_instance8,8.373838,8.849433,8.317819,8.906257,
tsp_instance9,6.885692,6.894901,6.958732,7.071009,
tsp_instance10,7.250553,7.162308,7.432988,7.284764,
