4,C_60.00_0_1_10_0,C_60.00_0_1_50_0,C_60.00_0_1_100_0,C_60.00_0_1_1000_0,
tsp_instance1,3.820475,3.498145,3.383752,3.500570,
tsp_instance2,2.099667,1.911597,1.919616,1.869334,
tsp_instance3,7.195462,8.456898,8.701309,7.233926,
tsp_instance4,5.353084,5.719960,4.779755,5.529400,
tsp_instance5,5.860337,5.416422,5.019796,5.330484,
tsp_instance6,5.277771,3.967604,3.854100,3.967873,
tsp_instance7,4.747394,4.717182,4.356049,4.447869,
tsp_instance8,3.903891,3.932623,3.806141,3.712674,
tsp_instance9,2.751032,3.349886,2.325545,3.698161,
tsp_instance10,4.936666,4.477267,4.280272,4.188322,
