7,Depth 1000,Depth 2000,Depth 3000,Depth 5000,Depth 7000,Depth 9000,Depth 20000,
tsp_instance1,234257.242041,231709.040248,232087.147305,231062.239974,231062.239974,231417.862129,231453.739179,
tsp_instance2,233315.918692,233062.886945,233343.844784,233183.364925,233196.352822,233111.533178,233175.815081,
tsp_instance3,231989.627114,231650.984863,231282.580910,231188.349614,231040.439997,233415.462676,232099.920319,
tsp_instance4,228020.047004,228417.956230,227683.557179,228081.865773,228081.865773,228081.865773,228013.746842,
tsp_instance5,233196.450986,232668.191202,232656.871314,232629.505997,232465.493578,232988.397366,232659.680254,
tsp_instance6,238777.179679,239280.648280,234209.169650,234223.958405,233445.224918,233830.370581,233122.321436,
tsp_instance7,229283.278710,232890.368495,229016.476108,228732.392558,228665.324538,229026.991418,229085.626736,
tsp_instance8,234007.745330,231734.979908,231428.062952,231639.178240,231462.630393,231457.852910,231686.724593,
tsp_instance9,233257.055424,233142.577196,233023.006564,232809.060050,233056.545301,233056.545301,233056.545301,
tsp_instance10,232419.894630,232452.947831,234228.580637,232288.869725,232040.280965,232290.439174,231769.712657,
