5,L_180.00_10_20000,L_180.00_20_20000,L_180.00_30_20000,L_180.00_50_20000,L_180.00_70_20000,
tsp_instance1,234107.278753,233117.338087,232554.093490,233056.290332,235964.509931,
tsp_instance2,238716.542120,234757.307295,234280.055951,235783.432402,234799.158709,
tsp_instance3,233245.676793,232527.129654,232854.407154,233258.918605,236476.955766,
tsp_instance4,230060.416663,228208.699472,228612.925012,228322.311606,232176.879967,
tsp_instance5,235626.147675,233773.990096,233645.932450,235208.833003,239064.277601,
tsp_instance6,234193.702484,233499.160767,233310.277777,235122.924830,237924.183195,
tsp_instance7,229174.077083,228855.798005,228596.054990,229697.803397,237614.885439,
tsp_instance8,234518.672005,233709.123430,233255.570322,233455.891601,236679.521015,
tsp_instance9,235800.196384,236051.106842,236035.032864,236781.257202,241691.823748,
tsp_instance10,234136.730762,234121.670944,233142.903820,234008.012637,235228.040222,
