4,Nearest Neighbor,Extra Mileage,Nearest Neighbor + 2-OPT,Extra Mileage + 2-OPT,
tsp_instance1,195459.694561,204913.602016,174699.031757,186643.133372,
tsp_instance2,194396.960259,201261.070982,173879.754461,188573.315699,
tsp_instance3,205054.417121,200543.398747,175637.173317,186737.755056,
tsp_instance4,192455.820385,194601.817554,172337.425641,182396.933377,
tsp_instance5,194975.847229,204617.835835,173865.107755,192693.356929,
tsp_instance6,197281.419575,200805.131693,173012.977303,186998.902948,
tsp_instance7,199501.845394,194384.390348,174302.584244,183298.517360,
tsp_instance8,195089.571495,197958.676276,173789.268659,183127.435715,
tsp_instance9,202445.640527,200340.154663,174328.769391,187565.525924,
tsp_instance10,200848.727785,196383.646230,176272.554267,185424.644992,
